source,ticker,query,query_class,expected_page_family,expected_url,ranking_url,impressions,clicks,ctr,position,ownership_status,status,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_is_correct,route_breakdown
"google","HSIC","henry schein revenue","REVENUE","REVENUE","/stocks/HSIC/revenue","/stocks/HSIC/revenue","2","0","0","46","CORRECT","CORRECT","2","0","2","1","0","/stocks/HSIC/revenue","2","yes","/stocks/HSIC/revenue=2"
"google","IBM","ibm profitability","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/IBM/gross-profit","2","0","0","85","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/IBM/gross-profit","2","no","/stocks/IBM/gross-profit=2"
"google","KKR","kkr stock dividend","DIVIDEND","DIVIDEND","/stocks/KKR/dividend-history","/stocks/KKR/dividend-history","2","0","0","49","CORRECT","CORRECT","2","0","2","1","0","/stocks/KKR/dividend-history","2","yes","/stocks/KKR/dividend-history=2"
"google","MAR","marriott dividend history","DIVIDEND","DIVIDEND","/stocks/MAR/dividend-history","/stocks/MAR/dividend-history","2","0","0","42","CORRECT","CORRECT","2","0","2","1","0","/stocks/MAR/dividend-history","2","yes","/stocks/MAR/dividend-history=2"
"google","MPT","medical properties trust inc","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/MPT/ebitda","2","0","0","90","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/MPT/ebitda","2","no","/stocks/MPT/ebitda=2"
"google","NFLX","netflix yearly revenue","REVENUE","REVENUE","/stocks/NFLX/revenue","/stocks/NFLX/revenue","2","0","0","63.5","CORRECT","CORRECT","2","0","2","1","0","/stocks/NFLX/revenue","2","yes","/stocks/NFLX/revenue=2"
"google","GOOGL","p/e ratio google","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GOOGL/pe-ratio","2","0","0","40","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/GOOGL/pe-ratio","2","no","/stocks/GOOGL/pe-ratio=2"
"google","GOOGL","price to earnings ratio google","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/GOOGL/pe-ratio","2","0","0","44.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/GOOGL/pe-ratio","2","no","/stocks/GOOGL/pe-ratio=2"
"google","SDGR","schrodinger revenue","REVENUE","REVENUE","/stocks/SDGR/revenue","/stocks/SDGR/revenue","2","0","0","45.5","CORRECT","CORRECT","2","0","2","1","0","/stocks/SDGR/revenue","2","yes","/stocks/SDGR/revenue=2"
"google","AGX|ARCB|ASTH|BILL|BKU|CXM|DBX|DELL|DLR|EVTC|GEHC|GPC|HTH|IBM|KN|KO|LKFN|MAS|MMM|MTH|SCHW|SLGN|SRPT|TRIP|UFPT","site:stockportfolio.pro","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/AGX/shares-outstanding","2","0","0","10","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/AGX/shares-outstanding","2","no","/stocks/AGX/shares-outstanding=2"
"google","STWD","starwood property trust dividend","DIVIDEND","DIVIDEND","/stocks/STWD/dividend-history","/stocks/STWD/dividend-history","2","0","0","51","CORRECT","CORRECT","2","0","2","1","0","/stocks/STWD/dividend-history","2","yes","/stocks/STWD/dividend-history=2"
"google","WM","waste management dividend","DIVIDEND","DIVIDEND","/stocks/WM/dividend-history","/stocks/WM/dividend-history","2","0","0","59.5","CORRECT","CORRECT","2","0","2","1","0","/stocks/WM/dividend-history","2","yes","/stocks/WM/dividend-history=2"
"google","WFC","wells fargo ex dividend","DIVIDEND","DIVIDEND","/stocks/WFC/dividend-history","/stocks/WFC/dividend-history","2","0","0","68","CORRECT","CORRECT","2","0","2","1","0","/stocks/WFC/dividend-history","2","yes","/stocks/WFC/dividend-history=2"
"google","WFC","wfc dividend date","DIVIDEND","DIVIDEND","/stocks/WFC/dividend-history","/stocks/WFC/dividend-history","2","0","0","85.5","CORRECT","CORRECT","2","0","2","1","0","/stocks/WFC/dividend-history","2","yes","/stocks/WFC/dividend-history=2"
"google","WM","wm dividend history","DIVIDEND","DIVIDEND","/stocks/WM/dividend-history","/stocks/WM/dividend-history","2","0","0","37","CORRECT","CORRECT","2","0","2","1","0","/stocks/WM/dividend-history","2","yes","/stocks/WM/dividend-history=2"
"google","WM","wm stock dividend","DIVIDEND","DIVIDEND","/stocks/WM/dividend-history","/stocks/WM/dividend-history","2","0","0","66","CORRECT","CORRECT","2","0","2","1","0","/stocks/WM/dividend-history","2","yes","/stocks/WM/dividend-history=2"
"google","XPO","xpo net","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/XPO/net-income","2","0","0","29.5","AMBIGUOUS","AMBIGUOUS","0","2","2","0","0","/stocks/XPO/net-income","2","no","/stocks/XPO/net-income=2"
